900046192;Морозов М.М.;Головино п., Улица не указана, Школьная, 0;0;0
900046196;Лебедев Л.Л.;Кольчугино г., Ленина ул, 107, 47;519;474.68;3300000001 ХВС;0
900046249;Фёдоров Ф.Ф.;Вязники г., Колхозная пер, 22, 33;519;286.34;3300000001 ХВС;0
900046352;Волков В.В.;Суздаль г., Победы наб, Дом не указан, Квартира не указана;519;302.08
900046354;Фёдоров Ф.Ф.;Бавлены п., Советская мкр, Дом не указан, Квартира не указана;519;143.22
900046363;Фёдоров Ф.Ф.;Лемешки с., Первомайская наб, 4, 135;519;261.75;3300000001 ХВС;0
900046377;Попов Д.Д.;Ковров г., Улица не указана, Лесная, 0;0;0
900046465;Кузнецов А.А.;Ставрово п., Набережная мкр, Дом не указан, Квартира не указана;519;100.26
900046484;Волков В.В.;Муром г., Октябрьская тер, Дом не указан, Квартира не указана;519;549.89
900046494;данные отсутствуют;Беречино д., Пионерская пр-кт, 35, 0;519;169.81
900046512;Егоров Е.Е.;Боголюбово п., Пушкина шоссе, Дом не указан, Квартира не указана;519;524.16
900046522;Сидоров С.С.;Беречино д., Ленина пер, Дом не указан, Квартира не указана;519;52.13
900046536;Попов Д.Д.;Сокол п., Улица не указана, Центральная, 0;0;0
900046541;Семёнов С.С.;Семьинское с., Пионерская ул, 2, 45;519;0
900046561;Лебедев Л.Л.;Лакинск г., Октябрьская пл, Дом не указан, Квартира не указана;519;159.48
900046570;Семёнов С.С.;Гусь-Хрустальный г., Колхозная б-р, 68, 61;519;181.34;3300000001 ХВС;0
900046575;Алексеев А.А.;Беречино д., Ленина мкр, 80, 75;519;125.01;3300000001 ХВС;0
900046626;Иванов И.И.;Бавлены п., Октябрьская наб, Дом не указан, Квартира не указана;519;85.48
900046649;Попов Д.Д.;Новоселка д., Заречная б-р, 74, 94;519;0
900046663;данные отсутствуют;Лемешки с., Свободы пер, 75А, 0;519;328.74
900046665;Фёдоров Ф.Ф.;Собинка г., Улица не указана, Колхозная, 0;0;0
900046676;Волков В.В.;Бавлены п., Садовая мкр, Дом не указан, Квартира не указана;519;491.42
900046678;Новиков Н.Н.;Головино п., Комсомольская тер, 19, 101;519;479.05;3300000001 ХВС;0
900046693;Фёдоров Ф.Ф.;Красная Горбатка п., Советская пл, 99, 20;519;0
900046743;Михайлов М.М.;Сокол п., Улица не указана, Набережная, 0;0;0
900046748;данные отсутствуют;Новоселка д., Центральная пл, 35, 0;519;214.31
900046775;Семёнов С.С.;Камешково г., Полевая пл, 37А, 21;519;118.57;3300000001 ХВС;0
900046781;Кузнецов А.А.;Сокол п., Луговая наб, 100, 52;519;367.80;3300000001 ХВС;0
900046787;Кузнецов А.А.;Бавлены п., Центральная б-р, 68, 19;519;499.08;3300000001 ХВС;0
900046796;Сидоров С.С.;Лакинск г., Пушкина тер, Дом не указан, Квартира не указана;519;502.66
900046837;Фёдоров Ф.Ф.;Ставрово п., Мира б-р, Дом не указан, Квартира не указана;519;441.62
900046854;Алексеев А.А.;Беречино д., Первомайская б-р, 100, 96;519;0
900046860;данные отсутствуют;Суздаль г., Луговая ул, 112, 0;519;380.75
900046876;данные отсутствуют;Владимир г., Свободы шоссе, 70, 0;519;358.85
900046893;Алексеев А.А.;Гусь-Хрустальный г., Новая мкр, 141, 66;519;471.81;3300000001 ХВС;0
900046895;Морозов М.М.;Кольчугино г., Улица не указана, Гагарина, 0;0;0
900046949;Кузнецов А.А.;Бавлены п., Улица не указана, Пушкина, 0;0;0
900046951;Попов Д.Д.;Сокол п., Луговая шоссе, Дом не указан, Квартира не указана;519;547.55
900046952;Васильев Е.Е.;Гусь-Хрустальный г., Новая ул, Дом не указан, Квартира не указана;519;63.06
900046998;Морозов М.М.;Муром г., Мира б-р, 95, 19;519;0
900047031;Иванов И.И.;Муром г., Гагарина пл, 87, 74;519;232.04;3300000001 ХВС;0
900047068;Сидоров С.С.;Суздаль г., Ленина пл, Дом не указан, Квартира не указана;519;319.96
900047079;Сидоров С.С.;Собинка г., Центральная тер, Дом не указан, Квартира не указана;519;466.84
900047107;Иванов И.И.;Юрьевец п., Ленина ул, Дом не указан, Квартира не указана;519;409.24
900047134;данные отсутствуют;Сокол п., Строительная пр-кт, 33, 0;519;543.49
900047141;данные отсутствуют;Александров г., Октябрьская пер, 6, 0;519;467.62
900047180;данные отсутствуют;Владимир г., Набережная шоссе, 1, 0;519;183.95
900047261;Иванов И.И.;Семьинское с., Ленина пр-кт, 3, 135;519;62.15;3300000001 ХВС;0
900047308;Волков В.В.;Покров г., Центральная тер, 144, 146;519;0
900047358;Сидоров С.С.;Гусь-Хрустальный г., Улица не указана, Молодежная, 0;0;0
900047396;Алексеев А.А.;Новоселка д., Улица не указана, Новая, 0;0;0
900047422;данные отсутствуют;Лакинск г., Молодежная пл, 73, 0;519;295.99
900047451;Васильев Е.Е.;Сокол п., Луговая пл, Дом не указан, Квартира не указана;519;135.15
900047453;данные отсутствуют;Владимир г., Центральная пр-кт, 65, 0;519;175.74
900047469;Смирнов В.В.;Лемешки с., Победы наб, 142, 138;519;398.42;3300000001 ХВС;0
900047530;Морозов М.М.;Вязники г., Улица не указана, Набережная, 0;0;0
900047558;данные отсутствуют;Кольчугино г., Лесная пер, 24, 0;519;134.97
900047565;данные отсутствуют;Суздаль г., Победы б-р, 44, 0;519;57.82
900047581;Волков В.В.;Покров г., Улица не указана, Центральная, 0;0;0
900047604;данные отсутствуют;Владимир г., Колхозная шоссе, 124, 0;519;394.07
900047682;Попов Д.Д.;Покров г., Гагарина мкр, 10, 144;519;362.87;3300000001 ХВС;0
900047692;данные отсутствуют;Беречино д., Заречная наб, 106, 0;519;162.98
900047696;Морозов М.М.;Суздаль г., Луговая пл, 11, 147;519;405.72;3300000001 ХВС;0
900047701;Алексеев А.А.;Беречино д., Октябрьская б-р, 108, 8;519;0
900047710;Петров П.П.;Ковров г., Первомайская ул, Дом не указан, Квартира не указана;519;549.29
900047711;Морозов М.М.;Камешково г., Улица не указана, Центральная, 0;0;0
900047724;Фёдоров Ф.Ф.;Владимир г., Мира б-р, 47, 125;519;78.37;3300000001 ХВС;0
900047757;данные отсутствуют;Владимир г., Полевая ул, 111, 0;519;82.03
900047802;Михайлов М.М.;Боголюбово п., Центральная ул, 139А, 129;519;368.71;3300000001 ХВС;0
900047822;данные отсутствуют;Бавлены п., Новая мкр, 78, 0;519;222.42
900047828;данные отсутствуют;Новоселка д., Свободы ул, 148, 0;519;245.31
900047848;Михайлов М.М.;Лакинск г., Новая пл, Дом не указан, Квартира не указана;519;254.41
900047889;Лебедев Л.Л.;Ковров г., Набережная пр-кт, Дом не указан, Квартира не указана;519;267.90
900047909;Михайлов М.М.;Ставрово п., Заречная шоссе, 119, 142;519;504.97;3300000001 ХВС;0
900047926;Новиков Н.Н.;Ковров г., Ленина пр-кт, Дом не указан, Квартира не указана;519;507.40
900047928;данные отсутствуют;Муром г., Комсомольская пр-кт, 51, 0;519;389.81
900047935;Волков В.В.;Телегино д., Победы б-р, 73, 79;519;135.12;3300000001 ХВС;0
900047939;Петров П.П.;Суздаль г., Улица не указана, Строительная, 0;0;0
